Year,NOC,Comes_from_City,Avg_Age,Avg_Height,Avg_Weight,Total_Medal_Score,Number_of_Athelete,Sport_type_Both,Sport_type_Individual,Sport_type_Team,Sex_F,Sex_M
1948,IND,0,21.0,162.0,53.0,4,1,0,0,1,0,1
1948,IRL,0,23.25,179.75,67.75,0,4,0,4,0,0,4
1948,ISL,0,20.9,181.3,74.7,0,10,0,10,0,0,10
1948,ITA,0,27.115384615384617,176.80769230769232,74.96153846153847,8,26,0,22,4,2,24
1948,JAM,0,24.5,181.08333333333334,69.58333333333333,8,12,0,12,0,0,12
1948,KOR,0,27.5,168.0,64.0,0,2,0,1,1,0,2
1948,LUX,0,22.305555555555557,173.02777777777777,70.63888888888889,0,36,16,15,5,4,32
1948,MEX,0,26.4,174.53333333333333,70.23333333333333,0,15,0,9,6,2,13
1948,MON,0,36.5,168.0,85.0,0,2,0,2,0,0,2
1948,NED,0,27.0,177.6153846153846,68.38461538461539,18,13,0,13,0,4,9
1948,NOR,0,29.0,183.05555555555554,80.16666666666667,1,18,0,18,0,0,18
1948,NZL,0,24.0,178.2,67.0,0,5,0,5,0,0,5
1948,PAK,0,21.0,175.0,68.0,0,1,0,0,1,0,1
1948,PAN,0,26.0,185.0,73.0,2,2,0,2,0,0,2
1948,PER,0,26.5,185.0,82.0,0,2,0,2,0,0,2
1948,PHI,0,33.0,171.25,59.5,0,4,0,4,0,0,4
1948,POL,0,31.807692307692307,173.25,72.42307692307692,0,52,0,42,10,3,49
1948,POR,0,31.857142857142858,169.14285714285714,69.85714285714286,5,7,0,7,0,0,7
1948,PUR,0,38.0,181.0,94.0,0,1,0,1,0,0,1
1948,RSA,0,25.428571428571427,175.42857142857142,69.28571428571429,0,7,0,7,0,2,5
1948,SUI,1,28.25,176.4375,75.0625,6,16,0,13,3,1,15
1948,SWE,0,27.12727272727273,180.23636363636365,73.6,49,55,0,54,1,5,50
1948,TCH,0,26.692307692307693,179.0,77.84615384615384,8,13,0,12,1,2,11
1948,TTO,0,31.0,173.0,64.0,0,2,0,2,0,0,2
1948,TUR,0,23.571428571428573,169.28571428571428,65.71428571428571,0,7,0,5,2,0,7
1948,URU,0,22.181818181818183,176.8181818181818,72.36363636363636,0,11,0,11,0,0,11
1948,USA,0,24.880681818181817,177.57954545454547,72.26988636363636,175,176,0,151,25,41,135
1948,YUG,0,25.0625,178.25,73.25,2,16,0,16,0,2,14
1952,ARG,0,26.205128205128204,170.3846153846154,71.28205128205128,3,39,7,31,1,10,29
1952,AUS,0,23.333333333333332,179.47222222222223,71.33333333333333,13,36,0,35,1,9,27
1952,AUT,0,26.05263157894737,171.31578947368422,70.15789473684211,1,19,0,18,1,3,16
1952,BAH,0,29.25,182.0,88.25,0,4,0,4,0,0,4
1952,BEL,0,25.78125,176.28125,72.875,0,32,0,26,6,0,32
1952,BRA,0,21.9375,177.5625,73.0625,5,16,0,12,4,2,14
1952,BUL,0,19.11111111111111,165.88888888888889,62.361111111111114,0,36,29,4,3,21,15
1952,CAN,0,23.958333333333332,175.04166666666666,75.8125,12,24,0,21,3,3,21
1952,CHI,0,24.0,182.78571428571428,74.64285714285714,0,14,0,13,1,2,12
